No,Kueri,Hasil Translate
1,HUKUM LELAKI MEMAKAI KALUNG TASBIH,قانون الرجل يرتدي قلادة تاسبي 
2,Hukum menabung di bank,إنقاذ القانون في البنك 
3,hukum bitcoin sebagai alat pembayaran,Bitcoin قانون كأداة الدفع 
4,HUKUM ADU AYAM ( SABUNG AYAM JAGO ),قانون حارب الدجاج (فابونج الديك) 
5,Hukum bercerita di dalam masjid,القانون يروي القصة في المسجد 
6,hukum mengumandangkan adzan dengan duduk,يصدق القانون آرفان بالجلوس 
7,hukum qobliyah subuh setelah sholat subuh,قانون Qobliyah الفجر بعد فجر الصلاة 
8,Hal hal makruh saat sholat,أشياء ماكروه عندما الصلاة 
9,hukum puasa sunnah bulan muharrom,السنة الصيام للقوانين مون محرم 
10,waktu berbuka puasa diatas pesawat,الوقت كسر سريع على متن الطائرة 
11,apakah makan sahur mencukupi sebagai niat puasa,ما هي وجبة ساحر كافية باعتبارها نية الصيام 
12,hukum makan dan minum saat thowaf,قانون الأكل والشرب عند ثوب 
13,hukum mengumandangkan adzan dan iqomah saat pelepasan jama'ah haji atau umroh,قانون أزان وإقسما خلال إطلاق سراح جماعة الحاج أو أبله 
14,Hukum thowaf memakai kendaraan / kursi / sepatu roda listrik,Thowaf قانون ارتداء المركبات / كراسي / عجلة كهربائية 
15,Hukum mengawetkan jenazah,القانون يحافظ على الجثث 
16,Cara memandikan mayit bertato,كيفية الاستحمام ل tattooed 
17,Hukum menggali kuburan diatas kuburan lama,قانون حفر القبر فوق القبر القديم 
18,Hukum menggunakan keranda jenazah (usungan mayit),يستخدم القانون نعش الجثة (مايت نقالة) 
19,Hukum wanita haidh memandikan mayit,قانون حيدات النساء Mayit 
20,Hukum makan berbicara,قانون المحادثات 
21,Hukum makan daging katak dan buaya,قانون الأكل الضفدع وحوم التمساح 
22,Hukum sembelihan non muslim,قانون الذبح غير المسلم 
23,Hukum memakai bulu mata palsu,القانون يرتدي الرموش الصناعية 
24,Hukum istri gugat cerai suami yang dipenjara,زوجة القانون يقاضي الزوج المطلق الذي سجن 
25,Hukum menikah tanpa wali bagi janda dan wanita dewasa,الشريعة المتزوجة دون الأوصياء للأرامل والنساء البالغات 
26,Hukum kawin gantung atau pernikahan dini,قانون الزواج المعلق أو المبكر 
27,Hukum makan daging manusia,قانون تناول اللحوم البشرية 
28,Hukum memberi nama jelek pada makanan,القانون يعطي اسم قبيح على الغذاء 
29,Hukum berqurban dengan ayam jago,قانون بيركبان مع الديك 
30,Hukum menyembelih hewan dengan pisau emas,يذبح الشريعة الحيوانات مع السكاكين الذهبية 
31,Hukum daging qurban tidak dibagikan ke faqir miskin,لا يتم توزيع قانون لحم القريبان على الفقراء الفقراء 
32,Hukum hewan qurban mati sebelum disembelih,وفاة قانون الحيوانات الحضرية قبل ذبحه 
33,Hukum qurban patungan beda niat,قانون قيربان 
34,Hukum jual beli tanpa akad,قانون البيع دون عقد 
35,Bolehkah wanita hamil puasa ramadhan penuh,يمكن النساء الحوامل بسرعة رمضان كاملة 
36,Hukum membatalkan puasa ramadhan tanpa udzur,ألغى القانون صوم رمضان بدون أودزور 
37,Hukum niat puasa sunah setelah terbit fajar,النية القانونية للسنة بسرعة بعد الفجر 
38,Bolehkah qadha puasa karena ragu,هل يمكن ل Qadha Fastard 
39,Batasan sakit yang boleh tidak berpuasa,الحد من الألم لا يمكن أن يصوم 
40,Daging qurban diberikan ke orang kaya,يعطى لحم القريبان للأثرياء 
41,hukum meng-ghibah non muslim,غياب القانون غير المسلم 
42,hukum shalat tanpa memakai penutup kepala,صلاة القانون دون ارتداء غطاء الرأس 
43,jika saat sholat menelan bekas mengulum permen,إذا كانت الصلاة تبعث حلوى الحلب السابقة 
44,rukun qouli dalam sholat wajib terdengar,يجب أن يسمع Rukun Qauli في الصلاة 
45,menerima tamu apakah termasuk udzur sholat jamaah,تلقي الضيوف سواء بما في ذلك الصلويات Udzur الصلاة 
46,bolehkah menyingkirkan anak kecil dari shof depan saat sholat berjamaah,ربما تتخلص من طفل من جبهة شوف عند الصلاة في الجماعة 
47,kedipan mata membatalkan sholat,وميض العين إلغاء الصلاة 
48,hukum sholat memakai pakaian bergambar,صلاة القانون يرتدي ملابس تصويرية 
49,gugurkah sholat tahiyatul masjid bagi khotib,مسجد محظوظ تاهات تاهات 
50,Niat memutus puasa tidak membatalkan puasa,نية لتحديد الصيام لا يلغي الصيام 
51,hukum kucing dipangkuan musholi,قانون القطة القانونية 
52,hukum sholat diatas tanah tanpa alas,صلاة القانون على الأرض بدون قاعدة 
53,hukum mensholatkan jenazah di malam hari,قانون الرجكة فتاة في الليل 
54,hukum berkurban dengan uang hasil judi,قانون الذبيحة مع المال المقامرة 
55,hukum memindahkan masjid ke lokasi baru,نقل القانون المسجد إلى موقع جديد 
